base_seed,source,type,status
ADHD procrastination,manual,problem,ready
ADHD executive dysfunction,manual,problem,ready
ADHD time blindness,manual,symptom,ready
ADHD vs Autism,manual,comparison,ready
ADHD emotional dysregulation,manual,symptom,ready
ADHD and relationships struggles,manual,lifestyle,ready
ADHD parenting tips,manual,solution,ready
ADHD organization hacks,manual,solution,ready
ADHD and sleep disorders,manual,symptom,ready
ADHD career challenges,manual,lifestyle,ready
ADHD financial management tips,manual,solution,ready
ADHD vs Anxiety,manual,comparison,ready
ADHD impulsivity issues,manual,symptom,ready
ADHD medication types comparison,manual,comparison,ready
Natural remedies for ADHD,manual,solution,ready
ADHD and eating habits,manual,lifestyle,ready
ADHD mindfulness exercises,manual,solution,ready
ADHD vs Bipolar disorder,manual,comparison,ready
ADHD memory challenges,manual,symptom,ready
ADHD time management for adults,manual,solution,ready
